# http://www.cl.cam.ac.uk/~mgk25/ucs/keysyms.txt 
# Mapping of X11 keysyms to ISO 10646 / Unicode
#
# The "X11 Window System Protocol" standard (Release 6.4) defines in
# Appendix A the keysym codes. These 29-bit integer values identify
# characters or functions associated with each key (e.g., via the
# visible engraving) of a keyboard layout. In addition, mnemonic macro
# names are provided for the keysyms in the C header file
# <X11/keysymdef.h>. These are compiled (by xc/lib/X11/util/
# makekeys.c) into a hash table that can be accessed with X11 library
# functions such as XStringToKeysym() and XKeysymToString().
#
# The creation of the keysym codes predates ISO 10646 / Unicode, but
# they represent a similar attempt to merge several existing coded
# character sets (mostly early drafts of ISO 8859, as well as some --
# long since forgotten -- DEC font encodings). X.Org and XFree86 have
# agreed that for any future extension of the keysyms with characters
# already found in ISO 10646 / Unicode, the following algorithm will
# be used. The new keysym code position will simply be the character's
# Unicode number plus 0x01000000. The keysym codes in the range
# 0x01000100 0x0110ffff are now reserved to represent Unicode
# characters in the range U0100 to U10FFFF. (Note that the ISO 8859-1
# characters that make up Unicode positions below U0100 are excluded
# from this rule, as they are already covered by the keysyms of the
# same value.)
#
# While most newer Unicode-based X11 clients do already accept
# Unicode-mapped keysyms in the range 0x01000100 to 0x0110ffff, it
# will remain necessary for clients -- in the interest of
# compatibility with existing servers -- to also understand the
# existing keysym values. Clients can use the table below to map the
# pre-Unicode keysym values (0x0100 to 0x20ff) to the corresponding
# Unicode characters for further processing.
#
# The following fields are used in this mapping table:
#
# 1    The hexadecimal X11 keysym number (as defined in Appendix A of
#      the X11 protocol specification and as listed in <X11/keysymdef.h>)
#
# 2    The corresponding Unicode position
#      (U0000 means that there is no equivalent Unicode character)
#
# 3    Status of this keysym and its Unicode mapping
#
#         .  regular -- This is a regular well-established keysym with
#            a straightforward Unicode equivalent (e.g., any keysym
#            derived from ISO 8859). There can be at most one regular
#            keysym associated with each Unicode character.
#
#         d  duplicate -- This keysym has the same Unicode mapping as
#            another one with status 'regular'. It represents a case
#            where keysyms distinguish between several characters that
#            Unicode has unified into a single one (examples are
#            several APL symbols)
#
#         o  obsolete -- While it may be possible to find a Unicode of
#            similar name, the exact semantics of this keysym are
#            unclear, because the font or character set from which it
#            came has never been widely used. Examples are various
#            symbols from the DEC Publishing character set, which may
#            have been used in a special font shipped with the
#            DECwrite product. Where no similar Unicode character
#            can be identified, U0000 is used in column 2.
#
#         f  function -- While it may be possible to find a Unicode
#            of similar name, this keysym differs semantically
#            substantially from the corresponding Unicode character,
#            because it describes a particular function key or will
#            first have to be processed by an input method that will
#            translate it into a proper stream of Unicode characters.
#
#         r  remove -- This is a bogus keysym that was added in error,
#            is not used in any known keyboard layout, and should be
#            removed from both <X11/keysymdef.h> and the standard.
#
#         u  unicode-remap -- This keysym was added rather recently to
#            the <X11/keysymdef.h> of XFree86, but into a number range
#            reserved for future extensions of the standard by
#            X.Org. It is not widely used at present, but its name
#            appears to be sufficiently useful and it should therefore
#            be directly mapped to Unicode in the 0x1xxxxxx range in
#            future versions of <X11/keysymdef.h>. This way, the macro
#            name will be preserved, but the standard will not have to
#            be extended.
#
#      Recommendations for using the keysym status:
#
#        - All keysyms with status regular, duplicate, obsolete and
#          function should be listed in Appendix A of the X11 protocol
#          spec.
#
#        - All keysyms except for those with status remove should be
#          listed in <X11/keysymdef.h>.
#
#        - Keysyms with status duplicate, obsolete, and remove should
#          not be used in future keyboard layouts, as there are other
#          keysyms with status regular, function and unicode-remap
#          that give access to the same Unicode characters.
#
#        - Keysym to Unicode conversion tables in clients should include
#          all mappings except those with status function and those
#          with U0000.
#
# #    comment marker
#
# 4    the name of the X11 keysym macro without the leading XK_,
#      as defined in <X11/keysymdef.h>
#
# The last columns may be followed by comments copied from <X11/keysymdef.h>.
# A keysym may be listed several times, if there are several macro names
# associated with it in <X11/keysymdef.h>.
#
# Author: Markus Kuhn <http://www.cl.cam.ac.uk/~mgk25/>
# Date:   2004-08-08
#
# This table evolved out of an earlier one by Richard Verhoeven, TU Eindhoven.
#
# We begin with the original keysyms found in X11R6.4
#
0x0020   U0020   .   # space
0x06fe   U0427   .   # Cyrillic_CHE
0x06ff   U042a   .   # Cyrillic_HARDSIGN
0x07a1   U0386   .   # Greek_ALPHAaccent
0x07a2   U0388   .   # Greek_EPSILONaccent
0x07a3   U0389   .   # Greek_ETAaccent
0x07a4   U038a   .   # Greek_IOTAaccent
0x07a5   U03aa   .   # Greek_IOTAdiaeresis
0x07a7   U038c   .   # Greek_OMICRONaccent
0x07a8   U038e   .   # Greek_UPSILONaccent
0x07a9   U03ab   .   # Greek_UPSILONdieresis
0x07ab   U038f   .   # Greek_OMEGAaccent
0x07ae   U0385   .   # Greek_accentdieresis
0x07af   U2015   .   # Greek_horizbar
0x07b1   U03ac   .   # Greek_alphaaccent
0x07b2   U03ad   .   # Greek_epsilonaccent
0x07b3   U03ae   .   # Greek_etaaccent
0x07b4   U03af   .   # Greek_iotaaccent
0x07b5   U03ca   .   # Greek_iotadieresis
0x07b6   U0390   .   # Greek_iotaaccentdieresis
0x07b7   U03cc   .   # Greek_omicronaccent
0x07b8   U03cd   .   # Greek_upsilonaccent
0x07b9   U03cb   .   # Greek_upsilondieresis
0x07ba   U03b0   .   # Greek_upsilonaccentdieresis
0x07bb   U03ce   .   # Greek_omegaaccent
0x07c1   U0391   .   # Greek_ALPHA
0x07c2   U0392   .   # Greek_BETA
0x07c3   U0393   .   # Greek_GAMMA
0x07c4   U0394   .   # Greek_DELTA
0x07c5   U0395   .   # Greek_EPSILON
0x07c6   U0396   .   # Greek_ZETA
0x07c7   U0397   .   # Greek_ETA
0x07c8   U0398   .   # Greek_THETA
0x07c9   U0399   .   # Greek_IOTA
0x07ca   U039a   .   # Greek_KAPPA
0x07cb   U039b   .   # Greek_LAMBDA
0x07cb   U039b   .   # Greek_LAMDA
0x07cc   U039c   .   # Greek_MU
0x07cd   U039d   .   # Greek_NU
0x07ce   U039e   .   # Greek_XI
0x07cf   U039f   .   # Greek_OMICRON
0x07d0   U03a0   .   # Greek_PI
0x07d1   U03a1   .   # Greek_RHO
0x07d2   U03a3   .   # Greek_SIGMA
0x07d4   U03a4   .   # Greek_TAU
0x07d5   U03a5   .   # Greek_UPSILON
0x07d6   U03a6   .   # Greek_PHI
0x07d7   U03a7   .   # Greek_CHI
0x07d8   U03a8   .   # Greek_PSI
0x07d9   U03a9   .   # Greek_OMEGA
0x07e1   U03b1   .   # Greek_alpha
0x07e2   U03b2   .   # Greek_beta
0x07e3   U03b3   .   # Greek_gamma
0x07e4   U03b4   .   # Greek_delta
0x07e5   U03b5   .   # Greek_epsilon
0x07e6   U03b6   .   # Greek_zeta
0x07e7   U03b7   .   # Greek_eta
0x07e8   U03b8   .   # Greek_theta
0x07e9   U03b9   .   # Greek_iota
0x07ea   U03ba   .   # Greek_kappa
0x07eb   U03bb   .   # Greek_lambda
0x07ec   U03bc   .   # Greek_mu
0x07ed   U03bd   .   # Greek_nu
0x07ee   U03be   .   # Greek_xi
0x07ef   U03bf   .   # Greek_omicron
0x07f0   U03c0   .   # Greek_pi
0x07f1   U03c1   .   # Greek_rho
0x07f2   U03c3   .   # Greek_sigma
0x07f3   U03c2   .   # Greek_finalsmallsigma
0x07f4   U03c4   .   # Greek_tau
0x07f5   U03c5   .   # Greek_upsilon
0x07f6   U03c6   .   # Greek_phi
0x07f7   U03c7   .   # Greek_chi
0x07f8   U03c8   .   # Greek_psi
0x07f9   U03c9   .   # Greek_omega
0x08a1   U23b7   .   # leftradical
0x08a2   U250c   d   # topleftradical
0x08a3   U2500   d   # horizconnector
0x08a4   U2320   .   # topintegral
0x08a5   U2321   .   # botintegral
0x08a6   U2502   d   # vertconnector
0x08a7   U23a1   .   # topleftsqbracket
0x08a8   U23a3   .   # botleftsqbracket
0x08a9   U23a4   .   # toprightsqbracket
0x08aa   U23a6   .   # botrightsqbracket
0x08ab   U239b   .   # topleftparens
0x08ac   U239d   .   # botleftparens
0x08ad   U239e   .   # toprightparens
0x08ae   U23a0   .   # botrightparens
0x08af   U23a8   .   # leftmiddlecurlybrace
0x08b0   U23ac   .   # rightmiddlecurlybrace
0x08b1   U0000   o   # topleftsummation
0x08b2   U0000   o   # botleftsummation
0x08b3   U0000   o   # topvertsummationconnector
0x08b4   U0000   o   # botvertsummationconnector
0x08b5   U0000   o   # toprightsummation
0x08b6   U0000   o   # botrightsummation
0x08b7   U0000   o   # rightmiddlesummation
0x08bc   U2264   .   # lessthanequal
0x08bd   U2260   .   # notequal
0x08be   U2265   .   # greaterthanequal
0x08bf   U222b   .   # integral
0x08c0   U2234   .   # therefore
0x08c1   U221d   .   # variation
0x08c2   U221e   .   # infinity
0x08c5   U2207   .   # nabla
0x08c8   U223c   .   # approximate
0x08c9   U2243   .   # similarequal
0x08cd   U21d4   .   # ifonlyif
0x08ce   U21d2   .   # implies
0x08cf   U2261   .   # identical
0x08d6   U221a   .   # radical
0x08da   U2282   .   # includedin
0x08db   U2283   .   # includes
0x08dc   U2229   .   # intersection
0x08dd   U222a   .   # union
0x08de   U2227   .   # logicaland
0x08df   U2228   .   # logicalor
0x08ef   U2202   .   # partialderivative
0x08f6   U0192   .   # function
0x08fb   U2190   .   # leftarrow
0x08fc   U2191   .   # uparrow
0x08fd   U2192   .   # rightarrow
0x08fe   U2193   .   # downarrow
0x09df   U0000   o   # blank
0x09e0   U25c6   .   # soliddiamond
0x09e1   U2592   .   # checkerboard
0x09e2   U2409   .   # ht
0x09e3   U240c   .   # ff
0x09e4   U240d   .   # cr
0x09e5   U240a   .   # lf
0x09e8   U2424   .   # nl
0x09e9   U240b   .   # vt
0x09ea   U2518   .   # lowrightcorner
0x09eb   U2510   .   # uprightcorner
0x09ec   U250c   .   # upleftcorner
0x09ed   U2514   .   # lowleftcorner
0x09ee   U253c   .   # crossinglines
0x09ef   U23ba   .   # horizlinescan1
0x09f0   U23bb   .   # horizlinescan3
0x09f1   U2500   .   # horizlinescan5
0x09f2   U23bc   .   # horizlinescan7
0x09f3   U23bd   .   # horizlinescan9
0x09f4   U251c   .   # leftt
0x09f5   U2524   .   # rightt
0x09f6   U2534   .   # bott
0x09f7   U252c   .   # topt
0x09f8   U2502   .   # vertbar
0x0aa1   U2003   .   # emspace
0x0aa2   U2002   .   # enspace
0x0aa3   U2004   .   # em3space
0x0aa4   U2005   .   # em4space
0x0aa5   U2007   .   # digitspace
0x0aa6   U2008   .   # punctspace
0x0aa7   U2009   .   # thinspace
0x0aa8   U200a   .   # hairspace
0x0aa9   U2014   .   # emdash
0x0aaa   U2013   .   # endash
0x0aac   U2423   o   # signifblank
0x0aae   U2026   .   # ellipsis
0x0aaf   U2025   .   # doubbaselinedot
0x0ab0   U2153   .   # onethird
0x0ab1   U2154   .   # twothirds
0x0ab2   U2155   .   # onefifth
0x0ab3   U2156   .   # twofifths
0x0ab4   U2157   .   # threefifths
0x0ab5   U2158   .   # fourfifths
0x0ab6   U2159   .   # onesixth
0x0ab7   U215a   .   # fivesixths
0x0ab8   U2105   .   # careof
0x0abb   U2012   .   # figdash
0x0abc   U27e8   o   # leftanglebracket
0x0abd   U002e   o   # decimalpoint
0x0abe   U27e9   o   # rightanglebracket
0x0abf   U0000   o   # marker
0x0ac3   U215b   .   # oneeighth
0x0ac4   U215c   .   # threeeighths
0x0ac5   U215d   .   # fiveeighths
0x0ac6   U215e   .   # seveneighths
0x0ac9   U2122   .   # trademark
0x0aca   U2613   o   # signaturemark
0x0acb   U0000   o   # trademarkincircle
0x0acc   U25c1   o   # leftopentriangle
0x0acd   U25b7   o   # rightopentriangle
0x0ace   U25cb   o   # emopencircle
0x0acf   U25af   o   # emopenrectangle
0x0ad0   U2018   .   # leftsinglequotemark
0x0ad1   U2019   .   # rightsinglequotemark
0x0ad2   U201c   .   # leftdoublequotemark
0x0ad3   U201d   .   # rightdoublequotemark
0x0ad4   U211e   .   # prescription
0x0ad6   U2032   .   # minutes
0x0ad7   U2033   .   # seconds
0x0ad9   U271d   .   # latincross
0x0ada   U0000   o   # hexagram
0x0adb   U25ac   o   # filledrectbullet
0x0adc   U25c0   o   # filledlefttribullet
0x0add   U25b6   o   # filledrighttribullet
0x0ade   U25cf   o   # emfilledcircle
0x0adf   U25ae   o   # emfilledrect
0x0ae0   U25e6   o   # enopencircbullet
0x0ae1   U25ab   o   # enopensquarebullet
0x0ae2   U25ad   o   # openrectbullet
0x0ae3   U25b3   o   # opentribulletup
0x0ae4   U25bd   o   # opentribulletdown
0x0ae5   U2606   o   # openstar
0x0ae6   U2022   o   # enfilledcircbullet
0x0ae7   U25aa   o   # enfilledsqbullet
0x0ae8   U25b2   o   # filledtribulletup
0x0ae9   U25bc   o   # filledtribulletdown
0x0aea   U261c   o   # leftpointer
0x0aeb   U261e   o   # rightpointer
0x0aec   U2663   .   # club
0x0aed   U2666   .   # diamond
0x0aee   U2665   .   # heart
0x0af0   U2720   .   # maltesecross
0x0af1   U2020   .   # dagger
0x0af2   U2021   .   # doubledagger
0x0af3   U2713   .   # checkmark
0x0af4   U2717   .   # ballotcross
0x0af5   U266f   .   # musicalsharp
0x0af6   U266d   .   # musicalflat
0x0af7   U2642   .   # malesymbol
0x0af8   U2640   .   # femalesymbol
0x0af9   U260e   .   # telephone
0x0afa   U2315   .   # telephonerecorder
0x0afb   U2117   .   # phonographcopyright
0x0afc   U2038   .   # caret
0x0afd   U201a   .   # singlelowquotemark
0x0afe   U201e   .   # doublelowquotemark
0x0aff   U0000   o   # cursor
0x0ba3   U003c   d   # leftcaret
0x0ba6   U003e   d   # rightcaret
0x0ba8   U2228   d   # downcaret
0x0ba9   U2227   d   # upcaret
0x0bc0   U00af   d   # overbar
0x0bc2   U22a5   .   # downtack
0x0bc3   U2229   d   # upshoe
0x0bc4   U230a   .   # downstile
0x0bc6   U005f   d   # underbar
0x0bca   U2218   .   # jot
0x0bcc   U2395   .   # quad
0x0bce   U22a4   .   # uptack
0x0bcf   U25cb   .   # circle
0x0bd3   U2308   .   # upstile
0x0bd6   U222a   d   # downshoe
0x0bd8   U2283   d   # rightshoe
0x0bda   U2282   d   # leftshoe
0x0bdc   U22a2   .   # lefttack
0x0bfc   U22a3   .   # righttack
0x0cdf   U2017   .   # hebrew_doublelowline
0x0ce0   U05d0   .   # hebrew_aleph
0x0ce1   U05d1   .   # hebrew_bet
0x0ce1   U05d1   .   # hebrew_beth  /* deprecated */
0x0ce2   U05d2   .   # hebrew_gimel
0x0ce2   U05d2   .   # hebrew_gimmel  /* deprecated */
0x0ce3   U05d3   .   # hebrew_dalet
0x0ce3   U05d3   .   # hebrew_daleth  /* deprecated */
0x0ce4   U05d4   .   # hebrew_he
0x0ce5   U05d5   .   # hebrew_waw
0x0ce6   U05d6   .   # hebrew_zain
0x0ce6   U05d6   .   # hebrew_zayin  /* deprecated */
0x0ce7   U05d7   .   # hebrew_chet
0x0ce7   U05d7   .   # hebrew_het  /* deprecated */
0x0ce8   U05d8   .   # hebrew_tet
0x0ce8   U05d8   .   # hebrew_teth  /* deprecated */
0x0ce9   U05d9   .   # hebrew_yod
0x0cea   U05da   .   # hebrew_finalkaph
0x0ceb   U05db   .   # hebrew_kaph
0x0cec   U05dc   .   # hebrew_lamed
0x0ced   U05dd   .   # hebrew_finalmem
0x0cee   U05de   .   # hebrew_mem
0x0cef   U05df   .   # hebrew_finalnun
0x0cf0   U05e0   .   # hebrew_nun
0x0cf1   U05e1   .   # hebrew_samech
0x0cf1   U05e1   .   # hebrew_samekh  /* deprecated */
0x0cf2   U05e2   .   # hebrew_ayin
0x0cf3   U05e3   .   # hebrew_finalpe
0x0cf4   U05e4   .   # hebrew_pe
0x0cf5   U05e5   .   # hebrew_finalzade
0x0cf5   U05e5   .   # hebrew_finalzadi  /* deprecated */
0x0cf6   U05e6   .   # hebrew_zade
0x0cf6   U05e6   .   # hebrew_zadi  /* deprecated */
0x0cf7   U05e7   .   # hebrew_kuf  /* deprecated */
0x0cf7   U05e7   .   # hebrew_qoph
0x0cf8   U05e8   .   # hebrew_resh
0x0cf9   U05e9   .   # hebrew_shin
0x0cfa   U05ea   .   # hebrew_taf  /* deprecated */
0x0cfa   U05ea   .   # hebrew_taw
0x0da1   U0e01   .   # Thai_kokai
0x0da2   U0e02   .   # Thai_khokhai
0x0da3   U0e03   .   # Thai_khokhuat
0x0da4   U0e04   .   # Thai_khokhwai
0x0da5   U0e05   .   # Thai_khokhon
0x0da6   U0e06   .   # Thai_khorakhang  
0x0da7   U0e07   .   # Thai_ngongu  
0x0da8   U0e08   .   # Thai_chochan  
0x0da9   U0e09   .   # Thai_choching   
0x0daa   U0e0a   .   # Thai_chochang  
0x0dab   U0e0b   .   # Thai_soso
0x0dac   U0e0c   .   # Thai_chochoe
0x0dad   U0e0d   .   # Thai_yoying
0x0dae   U0e0e   .   # Thai_dochada
0x0daf   U0e0f   .   # Thai_topatak
0x0db0   U0e10   .   # Thai_thothan
0x0db1   U0e11   .   # Thai_thonangmontho
0x0db2   U0e12   .   # Thai_thophuthao
0x0db3   U0e13   .   # Thai_nonen
0x0db4   U0e14   .   # Thai_dodek
0x0db5   U0e15   .   # Thai_totao
0x0db6   U0e16   .   # Thai_thothung
0x0db7   U0e17   .   # Thai_thothahan
0x0db8   U0e18   .   # Thai_thothong
0x0db9   U0e19   .   # Thai_nonu
0x0dba   U0e1a   .   # Thai_bobaimai
0x0dbb   U0e1b   .   # Thai_popla
0x0dbc   U0e1c   .   # Thai_phophung
0x0dbd   U0e1d   .   # Thai_fofa
0x0dbe   U0e1e   .   # Thai_phophan
0x0dbf   U0e1f   .   # Thai_fofan
0x0dc0   U0e20   .   # Thai_phosamphao
0x0dc1   U0e21   .   # Thai_moma
0x0dc2   U0e22   .   # Thai_yoyak
0x0dc3   U0e23   .   # Thai_rorua
0x0dc4   U0e24   .   # Thai_ru
0x0dc5   U0e25   .   # Thai_loling
0x0dc6   U0e26   .   # Thai_lu
0x0dc7   U0e27   .   # Thai_wowaen
0x0dc8   U0e28   .   # Thai_sosala
0x0dc9   U0e29   .   # Thai_sorusi
0x0dca   U0e2a   .   # Thai_sosua
0x0dcb   U0e2b   .   # Thai_hohip
0x0dcc   U0e2c   .   # Thai_lochula
0x0dcd   U0e2d   .   # Thai_oang
0x0dce   U0e2e   .   # Thai_honokhuk
0x0dcf   U0e2f   .   # Thai_paiyannoi
0x0dd0   U0e30   .   # Thai_saraa
0x0dd1   U0e31   .   # Thai_maihanakat
0x0dd2   U0e32   .   # Thai_saraaa
0x0dd3   U0e33   .   # Thai_saraam
0x0dd4   U0e34   .   # Thai_sarai   
0x0dd5   U0e35   .   # Thai_saraii   
0x0dd6   U0e36   .   # Thai_saraue    
0x0dd7   U0e37   .   # Thai_sarauee    
0x0dd8   U0e38   .   # Thai_sarau    
0x0dd9   U0e39   .   # Thai_sarauu   
0x0dda   U0e3a   .   # Thai_phinthu
0x0dde   U0000   o   # Thai_maihanakat_maitho
0x0ddf   U0e3f   .   # Thai_baht
0x0de0   U0e40   .   # Thai_sarae    
0x0de1   U0e41   .   # Thai_saraae
0x0de2   U0e42   .   # Thai_sarao
0x0de3   U0e43   .   # Thai_saraaimaimuan   
0x0de4   U0e44   .   # Thai_saraaimaimalai  
0x0de5   U0e45   .   # Thai_lakkhangyao
0x0de6   U0e46   .   # Thai_maiyamok
0x0de7   U0e47   .   # Thai_maitaikhu
0x0de8   U0e48   .   # Thai_maiek   
0x0de9   U0e49   .   # Thai_maitho
0x0dea   U0e4a   .   # Thai_maitri
0x0deb   U0e4b   .   # Thai_maichattawa
0x0dec   U0e4c   .   # Thai_thanthakhat
0x0ded   U0e4d   .   # Thai_nikhahit
0x0df0   U0e50   .   # Thai_leksun 
0x0df1   U0e51   .   # Thai_leknung  
0x0df2   U0e52   .   # Thai_leksong 
0x0df3   U0e53   .   # Thai_leksam
0x0df4   U0e54   .   # Thai_leksi  
0x0df5   U0e55   .   # Thai_lekha  
0x0df6   U0e56   .   # Thai_lekhok  
0x0df7   U0e57   .   # Thai_lekchet  
0x0df8   U0e58   .   # Thai_lekpaet  
0x0df9   U0e59   .   # Thai_lekkao 
0x0ea1   U3131   f   # Hangul_Kiyeog
0x0ea2   U3132   f   # Hangul_SsangKiyeog
0x0ea3   U3133   f   # Hangul_KiyeogSios
0x0ea4   U3134   f   # Hangul_Nieun
0x0ea5   U3135   f   # Hangul_NieunJieuj
0x0ea6   U3136   f   # Hangul_NieunHieuh
0x0ea7   U3137   f   # Hangul_Dikeud
0x0ea8   U3138   f   # Hangul_SsangDikeud
0x0ea9   U3139   f   # Hangul_Rieul
0x0eaa   U313a   f   # Hangul_RieulKiyeog
0x0eab   U313b   f   # Hangul_RieulMieum
0x0eac   U313c   f   # Hangul_RieulPieub
0x0ead   U313d   f   # Hangul_RieulSios
0x0eae   U313e   f   # Hangul_RieulTieut
0x0eaf   U313f   f   # Hangul_RieulPhieuf
0x0eb0   U3140   f   # Hangul_RieulHieuh
0x0eb1   U3141   f   # Hangul_Mieum
0x0eb2   U3142   f   # Hangul_Pieub
0x0eb3   U3143   f   # Hangul_SsangPieub
0x0eb4   U3144   f   # Hangul_PieubSios
0x0eb5   U3145   f   # Hangul_Sios
0x0eb6   U3146   f   # Hangul_SsangSios
0x0eb7   U3147   f   # Hangul_Ieung
0x0eb8   U3148   f   # Hangul_Jieuj
0x0eb9   U3149   f   # Hangul_SsangJieuj
0x0eba   U314a   f   # Hangul_Cieuc
0x0ebb   U314b   f   # Hangul_Khieuq
0x0ebc   U314c   f   # Hangul_Tieut
0x0ebd   U314d   f   # Hangul_Phieuf
0x0ebe   U314e   f   # Hangul_Hieuh
0x0ebf   U314f   f   # Hangul_A
0x0ec0   U3150   f   # Hangul_AE
0x0ec1   U3151   f   # Hangul_YA
0x0ec2   U3152   f   # Hangul_YAE
0x0ec3   U3153   f   # Hangul_EO
0x0ec4   U3154   f   # Hangul_E
0x0ec5   U3155   f   # Hangul_YEO
0x0ec6   U3156   f   # Hangul_YE
0x0ec7   U3157   f   # Hangul_O
0x0ec8   U3158   f   # Hangul_WA
0x0ec9   U3159   f   # Hangul_WAE
0x0eca   U315a   f   # Hangul_OE
0x0ecb   U315b   f   # Hangul_YO
0x0ecc   U315c   f   # Hangul_U
0x0ecd   U315d   f   # Hangul_WEO
0x0ece   U315e   f   # Hangul_WE
0x0ecf   U315f   f   # Hangul_WI
0x0ed0   U3160   f   # Hangul_YU
0x0ed1   U3161   f   # Hangul_EU
0x0ed2   U3162   f   # Hangul_YI
0x0ed3   U3163   f   # Hangul_I
0x0ed4   U11a8   f   # Hangul_J_Kiyeog
0x0ed5   U11a9   f   # Hangul_J_SsangKiyeog
0x0ed6   U11aa   f   # Hangul_J_KiyeogSios
0x0ed7   U11ab   f   # Hangul_J_Nieun
0x0ed8   U11ac   f   # Hangul_J_NieunJieuj
0x0ed9   U11ad   f   # Hangul_J_NieunHieuh
0x0eda   U11ae   f   # Hangul_J_Dikeud
0x0edb   U11af   f   # Hangul_J_Rieul
0x0edc   U11b0   f   # Hangul_J_RieulKiyeog
0x0edd   U11b1   f   # Hangul_J_RieulMieum
0x0ede   U11b2   f   # Hangul_J_RieulPieub
0x0edf   U11b3   f   # Hangul_J_RieulSios
0x0ee0   U11b4   f   # Hangul_J_RieulTieut
0x0ee1   U11b5   f   # Hangul_J_RieulPhieuf
0x0ee2   U11b6   f   # Hangul_J_RieulHieuh
0x0ee3   U11b7   f   # Hangul_J_Mieum
0x0ee4   U11b8   f   # Hangul_J_Pieub
0x0ee5   U11b9   f   # Hangul_J_PieubSios
0x0ee6   U11ba   f   # Hangul_J_Sios
0x0ee7   U11bb   f   # Hangul_J_SsangSios
0x0ee8   U11bc   f   # Hangul_J_Ieung
0x0ee9   U11bd   f   # Hangul_J_Jieuj
0x0eea   U11be   f   # Hangul_J_Cieuc
0x0eeb   U11bf   f   # Hangul_J_Khieuq
0x0eec   U11c0   f   # Hangul_J_Tieut
0x0eed   U11c1   f   # Hangul_J_Phieuf
0x0eee   U11c2   f   # Hangul_J_Hieuh
0x0eef   U316d   f   # Hangul_RieulYeorinHieuh
0x0ef0   U3171   f   # Hangul_SunkyeongeumMieum
0x0ef1   U3178   f   # Hangul_SunkyeongeumPieub
0x0ef2   U317f   f   # Hangul_PanSios
0x0ef3   U3181   f   # Hangul_KkogjiDalrinIeung
0x0ef4   U3184   f   # Hangul_SunkyeongeumPhieuf
0x0ef5   U3186   f   # Hangul_YeorinHieuh
0x0ef6   U318d   f   # Hangul_AraeA
0x0ef7   U318e   f   # Hangul_AraeAE
0x0ef8   U11eb   f   # Hangul_J_PanSios
0x0ef9   U11f0   f   # Hangul_J_KkogjiDalrinIeung
0x0efa   U11f9   f   # Hangul_J_YeorinHieuh
0x0eff   U20a9   o   # Korean_Won
0x13bc   U0152   .   # OE                  
0x13bd   U0153   .   # oe                  
0x13be   U0178   .   # Ydiaeresis          
0x20a0   U20a0   u   # EcuSign                                      
0x20a1   U20a1   u   # ColonSign                                    
0x20a2   U20a2   u   # CruzeiroSign                                 
0x20a3   U20a3   u   # FFrancSign                                   
0x20a4   U20a4   u   # LiraSign                                     
0x20a5   U20a5   u   # MillSign                                     
0x20a6   U20a6   u   # NairaSign                                    
0x20a7   U20a7   u   # PesetaSign                                   
0x20a8   U20a8   u   # RupeeSign                                    
0x20a9   U20a9   u   # WonSign                                      
0x20aa   U20aa   u   # NewSheqelSign                                
0x20ab   U20ab   u   # DongSign                                     
0x20ac   U20ac   .   # EuroSign                                     
0xfd01   U0000   f   # 3270_Duplicate
0xfd02   U0000   f   # 3270_FieldMark
0xfd03   U0000   f   # 3270_Right2
0xfd04   U0000   f   # 3270_Left2
0xfd05   U0000   f   # 3270_BackTab
0xfd06   U0000   f   # 3270_EraseEOF
0xfd07   U0000   f   # 3270_EraseInput
0xfd08   U0000   f   # 3270_Reset
0xfd09   U0000   f   # 3270_Quit
0xfd0a   U0000   f   # 3270_PA1
0xfd0b   U0000   f   # 3270_PA2
0xfd0c   U0000   f   # 3270_PA3
0xfd0d   U0000   f   # 3270_Test
0xfd0e   U0000   f   # 3270_Attn
0xfd0f   U0000   f   # 3270_CursorBlink
0xfd10   U0000   f   # 3270_AltCursor
0xfd11   U0000   f   # 3270_KeyClick
0xfd12   U0000   f   # 3270_Jump
0xfd13   U0000   f   # 3270_Ident
0xfd14   U0000   f   # 3270_Rule
0xfd15   U0000   f   # 3270_Copy
0xfd16   U0000   f   # 3270_Play
0xfd17   U0000   f   # 3270_Setup
0xfd18   U0000   f   # 3270_Record
0xfd19   U0000   f   # 3270_ChangeScreen
0xfd1a   U0000   f   # 3270_DeleteWord
0xfd1b   U0000   f   # 3270_ExSelect
0xfd1c   U0000   f   # 3270_CursorSelect
0xfd1d   U0000   f   # 3270_PrintScreen
0xfd1e   U0000   f   # 3270_Enter
0xfe01   U0000   f   # ISO_Lock
0xfe02   U0000   f   # ISO_Level2_Latch
0xfe03   U0000   f   # ISO_Level3_Shift
0xfe04   U0000   f   # ISO_Level3_Latch
0xfe05   U0000   f   # ISO_Level3_Lock
0xfe06   U0000   f   # ISO_Group_Latch
0xfe07   U0000   f   # ISO_Group_Lock
0xfe08   U0000   f   # ISO_Next_Group
0xfe09   U0000   f   # ISO_Next_Group_Lock
0xfe0a   U0000   f   # ISO_Prev_Group
0xfe0b   U0000   f   # ISO_Prev_Group_Lock
0xfe0c   U0000   f   # ISO_First_Group
0xfe0d   U0000   f   # ISO_First_Group_Lock
0xfe0e   U0000   f   # ISO_Last_Group
0xfe0f   U0000   f   # ISO_Last_Group_Lock
0xfe20   U0000   f   # ISO_Left_Tab
0xfe21   U0000   f   # ISO_Move_Line_Up
0xfe22   U0000   f   # ISO_Move_Line_Down
0xfe23   U0000   f   # ISO_Partial_Line_Up
